Smiles	ID	ID_1	origSmiles_1	rdk.fr_C_O_noCOO	rdk.Chi4v	rdk.fr_Ar_COO	rdk.fr_SH	rdk.Chi4n	rdk.SMR_VSA10	rdk.fr_para_hydroxylation	rdk.fr_barbitur	rdk.fr_halogen	rdk.fr_dihydropyridine	rdk.fr_priamide	rdk.fr_Al_COO	rdk.fr_guanido	rdk.fr_furan	rdk.fr_morpholine	rdk.fr_nitroso	rdk.fr_COO2	rdk.fr_amidine	rdk.SMR_VSA7	rdk.fr_benzodiazepine	rdk.fr_Imine	rdk.MolWt	rdk.fr_hdrzine	rdk.fr_urea	rdk.fr_Ar_NH	rdk.fr_quatN	rdk.fr_phos_ester	rdk.fr_benzene	rdk.fr_phos_acid	rdk.fr_sulfone	rdk.VSA_EState10	rdk.fr_aniline	rdk.fr_N_O	rdk.fr_sulfonamd	rdk.fr_thiazole	rdk.TPSA	rdk.EState_VSA8	rdk.PEOE_VSA14	rdk.PEOE_VSA13	rdk.PEOE_VSA12	rdk.PEOE_VSA11	rdk.PEOE_VSA10	rdk.BalabanJ	rdk.fr_lactone	rdk.EState_VSA10	rdk.EState_VSA11	rdk.HeavyAtomMolWt	rdk.fr_nitro_arom	rdk.Chi0	rdk.Chi1	rdk.MolLogP	rdk.fr_nitro	rdk.fr_Al_OH	rdk.fr_azo	rdk.fr_C_O	rdk.fr_ether	rdk.fr_phenol_noOrthoHbond	rdk.fr_alkyl_halide	rdk.NumValenceElectrons	rdk.fr_aryl_methyl	rdk.fr_Ndealkylation2	rdk.fr_term_acetylene	rdk.HallKierAlpha	rdk.fr_C_S	rdk.fr_thiocyan	rdk.fr_ketone_Topliss	rdk.VSA_EState4	rdk.VSA_EState5	rdk.VSA_EState6	rdk.VSA_EState7	rdk.VSA_EState1	rdk.VSA_EState2	rdk.VSA_EState3	rdk.fr_HOCCN	rdk.fr_NH2	rdk.SlogP_VSA12	rdk.EState_VSA9	rdk.SlogP_VSA10	rdk.SlogP_VSA11	rdk.fr_COO	rdk.NHOHCount	rdk.fr_unbrch_alkane	rdk.fr_methoxy	rdk.fr_thiophene	rdk.SlogP_VSA8	rdk.SlogP_VSA9	rdk.SlogP_VSA4	rdk.SlogP_VSA5	rdk.SlogP_VSA6	rdk.SlogP_VSA7	rdk.SlogP_VSA1	rdk.SlogP_VSA2	rdk.SlogP_VSA3	rdk.NumRadicalElectrons	rdk.fr_piperzine	rdk.fr_nitrile	rdk.NumHeteroatoms	rdk.fr_NH1	rdk.fr_NH0	rdk.BertzCT	rdk.LabuteASA	rdk.fr_amide	rdk.Chi3n	rdk.fr_imidazole	rdk.SMR_VSA3	rdk.SMR_VSA2	rdk.SMR_VSA1	rdk.Kappa1	rdk.SMR_VSA6	rdk.Kappa3	rdk.Kappa2	rdk.EState_VSA6	rdk.Chi3v	rdk.SMR_VSA9	rdk.SMR_VSA8	rdk.EState_VSA2	rdk.EState_VSA3	rdk.fr_Ndealkylation1	rdk.EState_VSA1	rdk.fr_ketone	rdk.SMR_VSA5	rdk.Ipc	rdk.fr_diazo	rdk.SMR_VSA4	rdk.fr_Ar_N	rdk.fr_Nhpyrrole	rdk.EState_VSA7	rdk.fr_ester	rdk.EState_VSA4	rdk.NumHDonors	rdk.fr_prisulfonamd	rdk.fr_oxime	rdk.EState_VSA5	rdk.fr_isocyan	rdk.Chi2n	rdk.Chi2v	rdk.HeavyAtomCount	rdk.fr_azide	rdk.NumHAcceptors	rdk.fr_lactam	rdk.fr_allylic_oxid	rdk.VSA_EState8	rdk.fr_oxazole	rdk.VSA_EState9	rdk.fr_piperdine	rdk.fr_Ar_OH	rdk.fr_sulfide	rdk.fr_alkyl_carbamate	rdk.NOCount	rdk.Chi1n	rdk.PEOE_VSA8	rdk.PEOE_VSA7	rdk.PEOE_VSA6	rdk.PEOE_VSA5	rdk.PEOE_VSA4	rdk.PEOE_VSA3	rdk.PEOE_VSA2	rdk.PEOE_VSA1	rdk.fr_imide	rdk.Chi1v	rdk.fr_Al_OH_noTert	rdk.fr_epoxide	rdk.fr_hdrzone	rdk.fr_isothiocyan	rdk.fr_bicyclic	rdk.Chi0n	rdk.fr_phenol	rdk.MolMR	rdk.PEOE_VSA9	rdk.fr_aldehyde	rdk.fr_pyridine	rdk.fr_tetrazole	rdk.RingCount	rdk.fr_nitro_arom_nonortho	rdk.Chi0v	rdk.fr_ArN	rdk.NumRotatableBonds	BioActivity_1	c#BioActivity
CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	NN5937A	NN5937A	CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	3.000	7.974	0.000	0.000	7.974	17.536	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.801	0.000	0.000	476.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.900	0.000	5.969	0.000	5.783	17.053	6.607	1.808	0.000	24.597	4.390	439.289	0.000	25.104	15.918	3.637	0.000	2.000	0.000	3.000	1.000	0.000	1.000	188.000	0.000	0.000	0.000	-1.860	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.737	4.390	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	28.584	72.641	23.801	0.000	0.000	51.730	19.120	0.000	0.000	0.000	7.000	0.000	0.000	956.767	200.177	0.000	9.712	0.000	0.000	0.000	33.724	25.239	6.607	3.081	8.369	13.000	9.712	0.000	0.000	30.964	24.836	0.000	58.399	2.000	90.014	26030664.000	0.000	28.584	0.000	0.000	26.847	1.000	6.421	2.000	0.000	0.000	6.076	0.000	11.294	11.294	34.000	0.000	6.000	0.000	4.000	17.262	0.000	70.238	0.000	0.000	0.000	0.000	6.000	12.565	35.507	44.601	44.917	0.000	0.000	4.390	14.384	14.950	0.000	12.565	2.000	0.000	0.000	0.000	5.000	20.604	0.000	123.343	6.104	0.000	0.000	0.000	4.000	0.000	20.604	0.000	7.000	Active	Active
COc1ccc2c(c1OC)C(=O)N1c3ccccc3C(=O)N(CCCCCC(=O)N3CC4C[C@H](C3)Cn3c4ccc([N+](=O)[O-])c3=O)C21	LEO154275A	LEO154275A	COc1ccc2c(c1OC)C(=O)N1c3ccccc3C(=O)N(CCCCCC(=O)N3CC4C[C@H](C3)Cn3c4ccc([N+](=O)[O-])c3=O)C21	3.000	7.821	0.000	0.000	7.821	29.096	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	91.383	0.000	0.000	641.681	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	144.530	0.000	11.247	11.814	5.907	11.499	6.166	1.012	0.000	29.292	0.000	606.401	0.000	32.982	22.727	4.095	1.000	0.000	0.000	3.000	2.000	0.000	0.000	244.000	0.000	1.000	0.000	-5.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.474	11.375	11.499	0.000	0.000	2.000	2.000	0.000	0.000	0.000	16.032	76.161	53.325	0.000	19.933	70.866	11.339	0.000	0.000	0.000	13.000	0.000	5.000	1871.315	269.962	3.000	9.907	0.000	14.367	0.000	28.781	30.454	38.754	4.914	11.866	40.132	9.907	11.499	0.000	29.557	85.739	0.000	22.336	0.000	50.733	49305870336.000	0.000	5.918	1.000	0.000	17.033	0.000	12.115	0.000	0.000	0.000	24.853	0.000	12.554	12.554	47.000	0.000	9.000	0.000	0.000	1.517	0.000	114.983	1.000	0.000	0.000	0.000	13.000	15.874	55.841	49.446	24.620	0.000	0.000	0.000	34.192	23.841	0.000	15.874	0.000	0.000	0.000	0.000	9.000	26.217	0.000	169.827	35.957	0.000	1.000	0.000	7.000	0.000	26.217	0.000	10.000	Inactive	Inactive
O=C(CC1CCCC1)N1CCSC12CCN(c1ncnc3[nH]ccc13)C2	LEO138415A	LEO138415A	O=C(CC1CCCC1)N1CCSC12CCN(c1ncnc3[nH]ccc13)C2	1.000	6.413	0.000	0.000	4.928	34.520	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.591	0.000	0.000	371.510	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.965	1.000	0.000	0.000	0.000	65.120	24.752	0.000	0.000	5.907	0.000	22.663	1.357	0.000	4.795	0.000	346.310	0.000	17.562	12.751	2.538	0.000	0.000	0.000	1.000	0.000	0.000	0.000	138.000	0.000	0.000	0.000	-1.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.762	0.000	5.818	0.000	0.000	1.000	0.000	0.000	0.000	11.033	0.000	5.918	38.525	18.591	0.000	4.900	56.017	4.795	0.000	0.000	0.000	7.000	1.000	4.000	817.117	157.293	1.000	6.259	0.000	19.852	0.000	4.795	16.416	30.287	2.675	6.443	6.327	7.737	0.000	0.000	4.871	11.825	0.000	0.000	0.000	43.396	2404474.000	0.000	5.918	3.000	1.000	24.025	0.000	55.080	1.000	0.000	0.000	25.683	0.000	7.803	9.260	26.000	0.000	5.000	0.000	0.000	0.000	0.000	49.619	0.000	0.000	1.000	0.000	6.000	9.726	31.460	31.247	12.842	11.762	0.000	9.968	4.795	14.784	0.000	10.712	0.000	0.000	0.000	0.000	1.000	14.986	0.000	104.628	11.931	0.000	0.000	0.000	5.000	0.000	15.802	0.000	4.000	Inactive	Inactive
CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O	LEO71330A	LEO71330A	CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O	2.000	4.836	0.000	0.000	4.836	22.717	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.285	0.000	0.000	389.411	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.870	11.050	0.000	0.000	18.607	11.499	6.042	1.591	0.000	9.589	0.000	370.259	0.000	19.698	14.114	1.729	0.000	0.000	0.000	2.000	2.000	0.000	0.000	146.000	0.000	0.000	0.000	-3.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.474	0.000	11.499	0.000	1.000	0.000	0.000	0.000	10.903	0.000	0.000	22.863	42.465	0.000	9.474	53.025	16.010	0.000	1.000	0.000	7.000	1.000	2.000	1184.014	166.351	2.000	6.166	0.000	14.784	0.000	19.063	16.472	20.385	2.239	5.762	11.948	6.166	11.499	0.000	31.194	17.920	1.000	6.042	0.000	18.505	10567250.000	0.000	0.000	1.000	1.000	36.398	0.000	27.724	1.000	0.000	0.000	4.900	0.000	7.793	7.793	29.000	0.000	4.000	0.000	0.000	0.000	0.000	65.667	0.000	0.000	0.000	0.000	7.000	9.668	30.065	29.326	24.265	0.000	0.000	0.000	9.589	24.258	0.000	9.668	0.000	0.000	0.000	0.000	5.000	15.845	0.000	105.114	12.587	0.000	0.000	0.000	6.000	0.000	15.845	0.000	1.000	Inactive	Inactive
Cc1ccc([C@@H](Oc2ccc(C(=O)NCCOC(=O)C3CCC3)nc2)[C@H](C)NC(=O)C(F)(F)F)cc1	LEO133289A	LEO133289A	Cc1ccc([C@@H](Oc2ccc(C(=O)NCCOC(=O)C3CCC3)nc2)[C@H](C)NC(=O)C(F)(F)F)cc1	3.000	3.392	0.000	0.000	3.392	17.784	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.416	0.000	0.000	507.509	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	106.620	10.301	18.053	5.907	0.000	0.000	24.154	1.598	0.000	27.555	0.000	479.285	0.000	26.294	17.041	3.650	0.000	0.000	0.000	3.000	2.000	0.000	3.000	194.000	1.000	0.000	0.000	-3.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.474	13.171	5.750	0.000	2.000	1.000	0.000	0.000	0.000	0.000	12.842	53.906	42.595	0.000	15.370	48.137	14.326	0.000	0.000	0.000	11.000	2.000	1.000	1054.105	206.119	2.000	5.779	0.000	15.618	0.000	37.029	26.966	13.152	7.432	11.871	24.265	5.779	5.750	0.000	36.482	5.563	0.000	30.136	0.000	51.432	46722204.000	0.000	5.918	1.000	0.000	12.241	1.000	24.826	2.000	0.000	0.000	25.253	0.000	8.639	8.639	36.000	0.000	6.000	0.000	0.000	38.265	0.000	64.152	0.000	0.000	0.000	0.000	8.000	11.561	0.000	44.385	36.250	0.000	13.171	4.984	14.384	20.107	0.000	11.561	0.000	0.000	0.000	0.000	0.000	19.931	0.000	123.078	24.701	0.000	1.000	0.000	3.000	0.000	19.931	0.000	14.000	Inactive	Inactive
O=C(O)c1cc(-c2ccccc2)nc2ccccc12	SR1744A	SR1744A	O=C(O)c1cc(-c2ccccc2)nc2ccccc12	0.000	2.109	1.000	0.000	2.109	16.872	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	66.227	0.000	0.000	249.269	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50.190	4.984	5.969	0.000	0.000	0.000	0.000	2.310	0.000	9.901	0.000	238.181	0.000	13.242	9.254	3.600	0.000	0.000	0.000	1.000	0.000	0.000	0.000	92.000	0.000	0.000	0.000	-2.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	22.160	0.000	0.000	10.358	60.664	0.000	0.000	16.060	0.000	0.000	0.000	0.000	3.000	0.000	1.000	751.049	109.711	0.000	3.016	0.000	4.984	0.000	9.901	11.413	0.000	2.061	4.535	12.133	3.016	11.257	0.000	5.563	16.597	0.000	5.969	0.000	0.000	33534.676	0.000	0.000	1.000	0.000	48.531	0.000	5.563	1.000	0.000	0.000	0.000	0.000	4.243	4.243	19.000	0.000	2.000	0.000	0.000	0.000	0.000	46.000	0.000	0.000	0.000	0.000	3.000	5.940	10.950	12.133	48.531	0.000	0.000	9.779	0.000	5.107	0.000	5.940	0.000	0.000	0.000	0.000	1.000	10.076	0.000	74.138	16.774	0.000	1.000	0.000	3.000	0.000	10.076	0.000	2.000	Inactive	Inactive
CC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1	LEO154375A	LEO154375A	CC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1	2.000	1.626	0.000	0.000	1.626	23.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	59.658	0.000	0.000	254.289	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	72.190	5.317	0.000	5.907	0.000	5.783	0.000	2.101	0.000	9.589	0.000	240.177	0.000	13.828	9.059	2.724	0.000	0.000	0.000	2.000	0.000	0.000	0.000	96.000	0.000	0.000	0.000	-2.620	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	5.734	11.375	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	27.640	48.531	0.000	11.050	11.690	0.000	0.000	0.000	0.000	4.000	1.000	0.000	601.048	110.796	1.000	2.722	0.000	0.000	0.000	9.589	12.827	11.050	3.190	5.351	48.531	2.722	0.000	0.000	11.690	22.502	0.000	0.000	1.000	6.924	20209.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	6.924	0.000	4.210	4.210	19.000	0.000	3.000	0.000	0.000	0.000	0.000	48.500	0.000	0.000	0.000	0.000	4.000	5.840	22.502	55.455	0.000	0.000	0.000	0.000	9.589	11.050	0.000	5.840	0.000	0.000	0.000	0.000	0.000	10.513	0.000	75.254	0.000	0.000	0.000	0.000	2.000	0.000	10.513	1.000	4.000	Inactive	Inactive
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	NN6634A	NN6634A	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	3.000	6.985	0.000	0.000	6.985	17.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.801	0.000	0.000	402.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100.900	13.000	5.969	0.000	5.783	12.390	5.601	1.675	0.000	24.597	0.000	372.247	0.000	21.190	13.526	2.128	0.000	2.000	0.000	3.000	1.000	0.000	0.000	158.000	0.000	0.000	0.000	-1.790	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.737	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	28.584	52.875	23.801	0.000	0.000	46.061	19.120	0.000	0.000	0.000	6.000	0.000	0.000	827.225	170.552	0.000	8.475	0.000	0.000	0.000	29.334	20.481	6.607	2.790	6.607	6.076	8.475	0.000	0.000	28.952	25.683	0.000	35.479	2.000	64.580	2615370.750	0.000	28.584	0.000	0.000	13.000	1.000	11.994	2.000	0.000	0.000	6.924	0.000	9.812	9.812	29.000	0.000	6.000	0.000	4.000	0.000	0.000	73.250	0.000	0.000	0.000	0.000	6.000	10.514	30.092	43.595	31.573	0.000	0.000	0.000	14.384	14.950	0.000	10.514	1.000	0.000	0.000	0.000	5.000	17.312	0.000	104.596	6.104	0.000	0.000	0.000	4.000	0.000	17.312	0.000	4.000	Active	Active
O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1	LEO132420A	LEO132420A	O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1	3.000	4.718	0.000	0.000	4.718	17.908	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	40.956	0.000	0.000	634.455	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	310.660	0.000	17.908	0.000	17.789	46.351	24.919	1.568	1.000	70.555	0.000	612.279	0.000	33.066	21.115	-0.296	0.000	2.000	0.000	3.000	4.000	9.000	0.000	238.000	0.000	0.000	0.000	-5.850	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.947	0.000	51.746	0.000	11.000	0.000	0.000	0.000	11.127	0.000	0.000	31.074	24.265	0.000	0.000	111.392	18.947	0.000	0.000	0.000	18.000	0.000	0.000	1725.386	248.494	0.000	6.989	0.000	0.000	0.000	89.503	30.603	6.607	5.071	11.011	0.000	6.989	62.873	0.000	0.000	24.265	0.000	134.784	0.000	30.706	5070351360.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	11.000	0.000	0.000	0.000	0.000	9.792	9.792	45.000	0.000	18.000	0.000	0.000	0.000	0.000	145.500	0.000	9.000	0.000	0.000	18.000	12.536	11.127	24.265	0.000	0.000	0.000	14.384	0.000	75.119	0.000	12.536	2.000	0.000	0.000	0.000	4.000	22.180	9.000	138.879	16.690	0.000	0.000	0.000	5.000	0.000	22.180	0.000	3.000	Inactive	Inactive
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	ZZA31330B	ZZA31330B	CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	0.000	6.599	0.000	0.000	2.179	31.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.630	0.000	0.000	324.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	-6.588	0.000	0.000	1.000	0.000	106.330	5.317	0.000	0.000	10.023	9.837	8.418	2.645	0.000	16.836	0.000	308.321	0.000	14.422	8.675	0.612	0.000	0.000	0.000	0.000	0.000	0.000	0.000	108.000	0.000	0.000	0.000	-0.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	11.337	5.139	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	0.000	0.000	31.874	14.485	0.000	10.456	28.630	19.861	0.000	0.000	0.000	9.000	1.000	0.000	690.357	116.532	0.000	3.164	0.000	5.317	0.000	16.836	14.919	6.545	2.570	4.813	6.924	8.482	0.000	0.000	14.460	18.529	0.000	25.110	0.000	39.978	14628.790	0.000	5.139	0.000	0.000	6.924	0.000	11.337	2.000	0.000	0.000	6.066	0.000	4.555	9.957	19.000	0.000	6.000	0.000	0.000	47.271	0.000	14.150	0.000	0.000	0.000	0.000	6.000	5.814	11.605	25.956	6.924	11.337	0.000	21.975	0.000	5.317	0.000	9.723	0.000	0.000	0.000	0.000	1.000	10.581	0.000	73.375	5.250	0.000	0.000	0.000	2.000	0.000	13.031	0.000	3.000	Active	Active
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	NN10830A	NN10830A	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	1.000	3.844	0.000	0.000	2.772	33.219	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.614	0.000	0.000	365.842	1.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	1.843	1.000	0.000	1.000	0.000	92.500	5.426	0.000	5.907	10.023	0.000	4.895	1.889	0.000	13.212	0.000	349.714	0.000	17.483	11.270	2.083	0.000	0.000	0.000	1.000	0.000	0.000	0.000	126.000	0.000	0.000	0.000	-2.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	11.601	16.740	5.687	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	22.845	47.360	5.023	15.574	20.367	16.444	0.000	0.000	0.000	8.000	1.000	1.000	914.534	144.788	1.000	3.929	0.000	5.426	0.000	13.212	16.757	5.009	3.102	6.084	5.009	5.322	0.000	0.000	21.523	0.000	0.000	15.930	0.000	24.282	246290.141	0.000	5.139	0.000	0.000	31.189	0.000	17.672	2.000	0.000	0.000	18.199	0.000	5.683	7.620	24.000	0.000	4.000	0.000	0.000	23.080	0.000	38.438	0.000	0.000	0.000	0.000	6.000	7.276	5.563	43.173	29.800	0.000	0.000	13.557	15.229	0.000	0.000	9.200	0.000	0.000	0.000	0.000	1.000	12.861	0.000	92.378	16.752	0.000	0.000	0.000	3.000	0.000	14.434	0.000	4.000	Inactive	Inactive
Cc1cc(C#N)c[nH]c1=NC[C@@H]1CCN(c2ncnc3[nH]ccc23)CC12CC2	LEO130246A	LEO130246A	Cc1cc(C#N)c[nH]c1=NC[C@@H]1CCN(c2ncnc3[nH]ccc23)CC12CC2	0.000	4.549	0.000	0.000	4.549	16.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	47.468	0.000	0.000	373.464	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	96.750	36.971	0.000	0.000	0.000	0.000	29.349	1.356	0.000	0.000	0.000	350.280	0.000	19.140	13.683	1.710	0.000	0.000	0.000	0.000	0.000	0.000	0.000	142.000	1.000	0.000	0.000	-3.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.254	5.818	0.000	0.000	2.000	0.000	0.000	0.000	11.033	0.000	29.588	30.389	35.846	0.000	10.388	39.570	0.000	0.000	0.000	1.000	7.000	2.000	5.000	1129.352	162.724	0.000	6.228	0.000	19.936	5.262	0.000	16.992	24.534	2.855	6.482	12.524	6.228	6.069	0.000	0.000	16.896	0.000	0.000	0.000	26.186	5462341.000	0.000	16.325	4.000	2.000	19.187	0.000	53.958	2.000	0.000	0.000	12.842	0.000	8.079	8.079	28.000	0.000	5.000	0.000	0.000	0.000	0.000	58.083	1.000	0.000	0.000	0.000	7.000	9.814	32.028	55.215	0.000	0.000	5.262	9.968	4.992	14.868	0.000	9.814	0.000	0.000	0.000	0.000	1.000	15.943	0.000	107.415	10.950	0.000	1.000	0.000	5.000	0.000	15.943	0.000	3.000	Active	Active
CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)N(CC(N)=O)c4ccccc43)c(=O)n2C1c1ccccc1Cl	LEO80069A	LEO80069A	CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)N(CC(N)=O)c4ccccc43)c(=O)n2C1c1ccccc1Cl	3.000	6.021	0.000	0.000	4.645	51.982	1.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	95.638	0.000	0.000	536.997	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	7.572	1.000	0.000	0.000	1.000	124.060	4.992	5.969	11.466	5.907	4.801	17.119	1.825	0.000	19.178	0.000	515.829	0.000	26.430	17.739	1.654	0.000	0.000	0.000	3.000	1.000	0.000	0.000	188.000	0.000	0.000	0.000	-4.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	22.938	22.071	5.687	0.000	0.000	2.000	0.000	0.000	0.000	5.573	0.000	0.000	31.016	69.588	5.023	25.527	35.502	19.120	0.000	0.000	0.000	11.000	0.000	3.000	1703.857	219.297	2.000	6.157	0.000	4.567	0.000	19.120	24.665	18.052	3.980	9.454	62.378	7.554	0.000	0.000	28.830	32.335	0.000	29.385	0.000	19.889	234367616.000	0.000	10.726	1.000	0.000	0.000	1.000	11.337	1.000	0.000	0.000	9.467	0.000	8.394	9.779	37.000	0.000	8.000	0.000	1.000	1.512	0.000	85.360	0.000	0.000	0.000	0.000	9.000	11.404	10.586	31.544	59.336	0.000	0.000	9.787	23.851	10.471	0.000	12.598	0.000	0.000	0.000	0.000	2.000	19.857	0.000	138.783	29.138	0.000	0.000	0.000	5.000	0.000	21.429	0.000	6.000	Inactive	Inactive
